paraphraser,source_group,mean,std,n_datasets
chatgpt,Human,0.9737510235192101,0.011856020795402097,7
chatgpt,LLM,0.9673214215769417,0.006487861062347067,7
dipper(high),Human,0.892356681849537,0.0470823487384546,7
dipper(high),LLM,0.8803269144062492,0.02697085759907948,7
