variant,metric,n,mean,std
pegasus(slight),jaccard,17535.0,0.8687551403268848,0.20124135829628031
pegasus(slight),recall,17535.0,0.8880047182634546,0.19028373134289772
pegasus(slight),precision,17535.0,0.9534054769070807,0.1498677200124049
pegasus(full),jaccard,17535.0,0.5185844304133733,0.28395335568498603
pegasus(full),recall,17535.0,0.5593697514842119,0.2888868821756452
pegasus(full),precision,17535.0,0.7872311043273886,0.3002507580601764
