paraphraser,metric,n,mean,std
chatgpt,jaccard,17535.0,0.5488246325252476,0.3022466781024372
chatgpt,recall,17535.0,0.6252525881062159,0.3060116859659692
chatgpt,precision,17535.0,0.7337277066681605,0.2923324652861056
dipper(high),jaccard,17535.0,0.022708024749221768,0.06623576071107083
dipper(high),recall,17535.0,0.04029163182344614,0.11710853310100171
dipper(high),precision,17535.0,0.054465117177969424,0.14014038403104823
pegasus(slight),jaccard,17535.0,0.8687551403268848,0.20124135829628031
pegasus(slight),recall,17535.0,0.8880047182634546,0.19028373134289772
pegasus(slight),precision,17535.0,0.9534054769070807,0.1498677200124049
