dataset,source,key,cosine_chatgpt,cosine_dipper_low,cosine_dipper_high,jaccard_chatgpt,recall_chatgpt,precision_chatgpt,jaccard_dipper_low,recall_dipper_low,precision_dipper_low,jaccard_dipper_high,recall_dipper_high,precision_dipper_high,jaccard_pegasus_slight,recall_pegasus_slight,precision_pegasus_slight,jaccard_pegasus_full,recall_pegasus_full,precision_pegasus_full,source_group
cmv,BigScience,cmv-268,0.9787598703363437,0.9957324144095316,0.9157999712746311,0.6666666666666666,0.75,0.8571428571428571,0.6,0.75,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.375,0.375,1.0,LLM
cmv,BigScience,cmv-269,0.9677598612318907,0.9953869066131593,0.937039076280217,0.125,0.16666666666666666,0.3333333333333333,0.5,0.5,1.0,0.0,0.0,0.0,0.7142857142857143,0.8333333333333334,0.8333333333333334,0.25,0.3333333333333333,0.5,LLM
cmv,BigScience,cmv-270,0.9718174939018215,0.9922101941368016,0.9101948304002715,0.29411764705882354,0.35714285714285715,0.625,0.375,0.42857142857142855,0.75,0.0,0.0,0.0,0.6666666666666666,0.7142857142857143,0.9090909090909091,0.4,0.42857142857142855,0.8571428571428571,LLM
cmv,BigScience,cmv-271,0.9102746987280314,0.9673819065948976,0.7078108316697692,,,,,,,,,,,,,,,,LLM
cmv,BigScience,cmv-272,0.9861203964923051,0.977189486787476,0.9360973286708552,0.1,0.16666666666666666,0.2,0.42857142857142855,0.5,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.42857142857142855,0.5,0.75,LLM
cmv,BigScience,cmv-273,0.9587533352133149,0.9845866597324925,0.8860676955083173,0.1,0.2,0.16666666666666666,0.2222222222222222,0.4,0.3333333333333333,0.0,0.0,0.0,0.25,0.4,0.4,0.25,0.4,0.4,LLM
cmv,BigScience,cmv-274,0.989570273002099,0.9781154486207584,0.9428629655290036,0.875,1.0,0.875,0.75,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.7142857142857143,0.7142857142857143,1.0,0.5,0.5714285714285714,0.8,LLM
cmv,BigScience,cmv-275,0.9751071256608906,0.9853692744496825,0.9076763808364947,1.0,1.0,1.0,0.75,1.0,0.75,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334,1.0,0.3333333333333333,0.3333333333333333,1.0,LLM
cmv,BigScience,cmv-276,0.9955639016123434,0.989038212744846,0.9254622119452086,0.7333333333333333,0.7857142857142857,0.9166666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.9285714285714286,0.9285714285714286,1.0,0.4375,0.5,0.7777777777777778,LLM
cmv,BigScience,cmv-277,0.9859408179627525,0.9843416488232755,0.8981865898314542,0.1111111111111111,0.14285714285714285,0.3333333333333333,0.375,0.42857142857142855,0.75,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,0.5,0.5714285714285714,0.8,LLM
cmv,BigScience,cmv-278,0.9912478232936657,0.9930036042937319,0.9245292163148703,0.4,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7692307692307693,0.07142857142857142,0.08333333333333333,0.3333333333333333,1.0,1.0,1.0,0.52,0.5416666666666666,0.9285714285714286,LLM
cmv,BigScience,cmv-279,0.9554213195759304,0.9895490817406734,0.8154181386066967,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,LLM
cmv,BigScience,cmv-280,0.964823629919748,0.9961318694928831,0.9415431746920871,0.16666666666666666,0.25,0.3333333333333333,0.21428571428571427,0.375,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.8571428571428571,LLM
cmv,BigScience,cmv-281,0.9653749533701806,0.9886820006785325,0.9543688225193062,0.42857142857142855,0.5,0.75,0.5714285714285714,0.6666666666666666,0.8,0.04,0.08333333333333333,0.07142857142857142,1.0,1.0,1.0,0.6923076923076923,0.75,0.9,LLM
cmv,BigScience,cmv-282,0.9773545927494789,0.9899811626616253,0.93609436503438,0.0,0.0,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.75,0.75,1.0,0.25,0.25,1.0,LLM
cmv,BigScience,cmv-283,0.9933835415671576,0.9843976337917706,0.9489113270315719,0.5714285714285714,0.6,0.9230769230769231,0.5652173913043478,0.65,0.8125,0.034482758620689655,0.05,0.1,0.85,0.85,1.0,0.45,0.45,1.0,LLM
cmv,BigScience,cmv-284,0.9949208471897537,0.9922332319265345,0.9511232006323395,0.23684210526315788,0.2727272727272727,0.6428571428571429,0.3783783783783784,0.42424242424242425,0.7777777777777778,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,1.0,0.25,0.30303030303030304,0.5882352941176471,LLM
cmv,BigScience,cmv-285,0.9931525341362132,0.9882859142933877,0.9025670112986122,0.4782608695652174,0.6111111111111112,0.6875,0.26666666666666666,0.4444444444444444,0.4,0.0,0.0,0.0,0.8421052631578947,0.8888888888888888,0.9411764705882353,0.42857142857142855,0.5,0.75,LLM
